id,quality_score,content_integrity,content_ratio,content_length,one_sentence_description,content_type,business_sector,technical_content,information_density,content_quality,audience_level,commercial_bias,time_sensitivity,content_safety,educational_value,reasoning_indicators,pii_presence,regional_relevance,country_relevance,full_doc_lid_score,duplicate_count,full_doc_lid,minhash_cluster_size,gold_score,llm_educational_value,llm_content_quality,source
<urn:uuid:7bd60f45-225d-48e4-95c8-6bf578cdc7dd>,0.04,severely_degraded,minimal_content,minimal,Corrupted text with no identifiable topic or meaningful content.,['boilerplate'],['other'],['non_technical'],empty,unacceptable,general,none,evergreen,safe,none,none,no_pii,['indeterminate'],['none'],0.999869704246521,0.0,swe_Latn,1.0,0.1,0.0,0.1,extreme_sample_bottom
<urn:uuid:16c93ba7-d3dc-4afe-9d62-cebed3b066a6>,0.3,fragment,mostly_navigation,minimal,List of links and categories for Swedish archery championship results from Sandviken.,['structured_data'],['general_interest'],['non_technical'],thin,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9925462007522584,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:90e0255e-eb1f-48bc-ac6b-3216a9f78016>,0.18,fragment,mixed_content,brief,A collection of search result snippets and metadata for the Swedish school songbook 'Hej p,"['transactional', 'structured_data']","['education_sector', 'media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,heavy,evergreen,safe,minimal,none,no_pii,['european'],"['sweden', 'finland']",0.9999693632125854,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:e8c66eb5-dfb0-43da-96d7-03a731d816c7>,0.3,fragment,mostly_navigation,minimal,Fragment of a financial report summary for Missing People Sweden covering the year 2013.,['structured_data'],['nonprofit_ngo'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.8232300281524658,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:45672d83-e57d-457a-af9e-5fe241acfacf>,0.12,fragment,mostly_navigation,minimal,"Fragment of official results for the HuvudstadsCrossen cross-country ski race in Tby, Sweden.",['structured_data'],"['general_interest', 'media_entertainment']",['non_technical'],empty,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9865827560424804,1.0,swe_Latn,1.0,0.3,0.0,0.3,extreme_sample_bottom
<urn:uuid:e64be58e-c707-4570-9eaa-292086d57c1c>,0.22,fragment,minimal_content,minimal,"Fragment containing a title for a commercial property listing in Vllingby, Sweden.","['transactional', 'boilerplate']",['real_estate_construction'],['non_technical'],thin,poor,general,moderate,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9998867511749268,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:0516db52-8542-46d5-b082-1deb0dc0b549>,0.14,fragment,mixed_content,brief,A fragmented collection of metadata and text snippets related to the memoirs of actress Ingrid Bergman.,"['structured_data', 'transactional']","['media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,moderate,evergreen,safe,minimal,none,no_pii,['european'],"['sweden', 'norway']",0.9998679161071776,0.0,swe_Latn,1.0,0.2,0.1,0.2,extreme_sample_bottom
<urn:uuid:8ddd1f3e-70d5-4430-90ae-88fcb38c0d04>,0.22,fragment,mostly_navigation,minimal,Map snippet displaying a red proposed border line and a pink current border for Kinnared-Drngsered.,['structured_data'],['government_public'],['non_technical'],thin,poor,general,none,regularly_updating,safe,none,none,no_pii,['european'],['sweden'],0.9998350739479064,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:37a2fc08-249a-4ace-8e71-93cb29df5ab5>,0.0,fragment,minimal_content,minimal,"Fragment containing a link to a news article about a woman in Gavle, Sweden.",['news_report'],"['media_entertainment', 'general_interest']",['non_technical'],empty,unacceptable,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.8598493337631226,0.0,swe_Latn,1.0,0.0,0.0,0.0,extreme_sample_bottom
<urn:uuid:9f5960ef-dec4-4fd0-9225-03fd416ea219>,0.22,fragment,mostly_navigation,minimal,Product metadata fragment for a ZCKS404 plastic body friction wheel.,"['structured_data', 'transactional']",['manufacturing_industrial'],['basic_technical'],thin,poor,general,moderate,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.9975802302360536,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:4e1d645f-3367-4b64-87e2-a12ce66c5826>,0.28,fragment,mostly_navigation,minimal,Fragment of a user manual for changing an account profile on the Larlingsportalen platform.,"['instructional', 'procedural']",['education_sector'],['non_technical'],thin,poor,general,none,slowly_changing,safe,minimal,none,no_pii,['european'],['sweden'],0.9994885325431824,0.0,swe_Latn,1.0,0.4,0.2,0.4,extreme_sample_bottom
<urn:uuid:f238e883-561d-48e7-814e-577077fae141>,0.22,fragment,minimal_content,minimal,Header fragment from an annual financial report for the company EUBAS.,['structured_data'],"['financial_services', 'consulting_professional']",['non_technical'],empty,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9848732352256776,0.0,swe_Latn,3.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:a62109fd-69ec-4a3b-aa74-352c14e80d54>,0.18,fragment,mixed_content,brief,"A fragmented collection of metadata, a synopsis for a novel, and links to online music.","['transactional', 'reference', 'structured_data']","['media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,heavy,evergreen,safe,none,none,contains_pii,['european'],['sweden'],0.9999860525131226,1.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
5dd844d7-9ec8-40b3-a653-f3464d11b8d6,0.3,fragment,minimal_content,minimal,Header fragment from a Swedish zoning study report with repeated meeting schedule dates.,['boilerplate'],"['government_public', 'real_estate_construction']",['non_technical'],empty,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9847255945205688,3.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:b81127e8-bfc6-4510-8269-08b8b1ed02ea>,0.12,fragment,mixed_content,minimal,Fragment of a Swedish real estate listing for apartments in the Kivibergs L,"['transactional', 'structured_data']",['real_estate_construction'],['non_technical'],thin,poor,general,heavy,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9933290481567384,0.0,swe_Latn,1.0,0.3,0.0,0.3,extreme_sample_bottom
<urn:uuid:1ab3c4a2-847b-4f6f-89b3-d7d5765d5a7b>,0.18,fragment,mostly_navigation,minimal,Metadata snippet from a Swedish municipal document regarding a gravel company proposal.,"['structured_data', 'boilerplate']","['government_public', 'real_estate_construction']",['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.8982235789299011,1.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:0694827a-5ac4-404c-a60d-0a5deeab8721>,0.18,fragment,minimal_content,minimal,Fragment of an environmental data sheet for SundaHus brand BYR Enkel fire doors.,"['technical_documentation', 'structured_data']","['manufacturing_industrial', 'real_estate_construction']",['basic_technical'],empty,poor,expert,minimal,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.9996753931045532,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:feba57a8-c266-4d4a-a927-608df06c2e47>,0.22,fragment,mostly_navigation,minimal,Fragment of a Swedish ferry schedule for the route between Gror6d and Svanesund.,"['structured_data', 'reference']","['transportation_logistics', 'hospitality_tourism']",['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9998368620872498,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
2d2c89aa-e173-4f42-a19b-1993f31b7a04,0.22,fragment,mostly_navigation,minimal,Navigation list of Swedish music artists and albums from a blog post.,['structured_data'],"['media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,moderate,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.8251525163650513,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:bf7a9727-07f3-4745-9d20-eafd820f0d17>,0.14,fragment,mostly_navigation,brief,A collection of search result snippets for the Swedish edition of Bill Bryson's book 'A Short History of Nearly Everything'.,"['structured_data', 'transactional']","['media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,heavy,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.9952673316001892,0.0,swe_Latn,1.0,0.2,0.1,0.2,extreme_sample_bottom
<urn:uuid:f146205d-6d09-4403-8174-fce45a9934bd>,0.14,fragment,mixed_content,brief,"A fragmented collection of Swedish text snippets about illness, including a book description and news snippets.","['transactional', 'news_report', 'review_critique', 'boilerplate']","['media_entertainment', 'healthcare_medical', 'general_interest']",['non_technical'],thin,poor,general,minimal,time_sensitive,safe,minimal,none,no_pii,['european'],['sweden'],1.0000098943710327,0.0,swe_Latn,1.0,0.2,0.1,0.2,extreme_sample_bottom
<urn:uuid:7a6ca18c-b102-4d07-bcc2-6e4817d1b180>,0.3399999999999999,fragment,mostly_navigation,minimal,Header fragment from the results page of the S6dermanlands Pistolskyttekrets 2017 precision shooting championship.,['structured_data'],['general_interest'],['non_technical'],thin,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9823929071426392,3.0,swe_Latn,1.0,0.7,0.1,0.7,extreme_sample_bottom
<urn:uuid:98d00f80-5850-4153-8c51-cc2a62e0df92>,0.18,fragment,minimal_content,minimal,"Footer fragment containing company name, product title, and contact information for a hair dye developer.",['transactional'],"['consumer_goods', 'chemicals_materials']",['non_technical'],thin,poor,general,moderate,slowly_changing,safe,none,none,contains_pii,['european'],"['sweden', 'italy']",0.9575149416923524,20.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:4d1e4ccc-0be8-49e2-9f97-d0cc631ce980>,0.22,fragment,mostly_navigation,minimal,Fragment of a public transport schedule for Kungsbacka station to Kolla ,"['structured_data', 'reference']",['transportation_logistics'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9985249638557434,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:a611e8fa-2649-4f24-a40e-ce86f58424cd>,0.22,fragment,mostly_navigation,minimal,Download page for an e-book about cultural and political work.,['transactional'],"['academic_research', 'education_sector']",['non_technical'],empty,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9999945163726808,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:390d9922-17aa-45c0-9acd-83b65d755ee4>,0.22,fragment,mostly_navigation,minimal,Partial results listing participants and scores for a 2016 shooting competition in Sweden.,['structured_data'],['general_interest'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,contains_pii,['european'],['sweden'],0.9954413175582886,1.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:1c940faa-c21b-4cc4-afcd-e08fb6b18b08>,0.28,complete,mostly_navigation,brief,Book description and keyword-stuffed page for a self-help book about mental training.,"['transactional', 'structured_data']","['media_entertainment', 'general_interest']",['non_technical'],empty,poor,general,pure_marketing,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.9999833106994628,0.0,swe_Latn,1.0,0.4,0.2,0.4,extreme_sample_bottom
<urn:uuid:5bae4a55-6115-4cf6-8db7-d71680587bd7>,0.24,complete,mixed_content,brief,Promotional landing page offering a free download for a Swedish municipal ebook on using 3D visualization in urban planning.,"['transactional', 'boilerplate']","['government_public', 'technology_software', 'real_estate_construction']",['basic_technical'],thin,poor,general,heavy,slowly_changing,safe,minimal,minimal,no_pii,['european'],['sweden'],0.988538146018982,0.0,swe_Latn,1.0,0.3,0.2,0.3,extreme_sample_bottom
<urn:uuid:6287afb4-0ada-4d4c-81d5-bc623888cd69>,0.12,fragment,mostly_navigation,minimal,Fragment containing a title for a Trollh4ttan health center travel center and dates.,['structured_data'],['healthcare_medical'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9524824023246764,0.0,swe_Latn,1.0,0.3,0.0,0.3,extreme_sample_bottom
<urn:uuid:891ac364-f033-41c6-9bcc-9be1482aed85>,0.3,fragment,minimal_content,minimal,Fragment containing a weekly prompt for an educational exercise accompanied by copyright information.,['instructional'],['education_sector'],['non_technical'],empty,poor,children,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9713397026062012,2.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:a10102de-72be-4e93-814a-708adc447729>,0.14,fragment,mixed_content,moderate,"A fragmented collection of product listings, descriptions, and text snippets related to the Swedish puzzle book '365 Sudoku for Professionals'.","['transactional', 'structured_data', 'review_critique']","['retail_commerce', 'media_entertainment', 'gambling_betting']",['non_technical'],thin,poor,general,heavy,regularly_updating,safe,minimal,none,contains_pii,['european'],['sweden'],0.9999477863311768,0.0,swe_Latn,1.0,0.2,0.1,0.2,extreme_sample_bottom
<urn:uuid:ffc326b6-135d-41b5-b6a2-cc7744d2e0cd>,0.42,fragment,minimal_content,minimal,Fragment containing a title for member prices of archival care materials and a shipping notice.,"['transactional', 'boilerplate']",['other'],['non_technical'],empty,poor,general,moderate,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9999997615814208,0.0,swe_Latn,1.0,0.9,0.1,0.9,extreme_sample_bottom
<urn:uuid:a35dd7f5-00ec-4f55-9908-7afd56beb430>,0.22,fragment,mostly_navigation,minimal,A fragmented document outlining the stages of a Swedish building permit application for a warehouse.,"['procedural', 'boilerplate']","['government_public', 'real_estate_construction']",['non_technical'],thin,poor,general,none,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],1.0000067949295044,14.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:e44aeb97-0d8c-4b1e-834b-78e3117882c3>,0.3,fragment,minimal_content,minimal,Title and author information for a 2017 PDF e-book from Herregud & Co.,['transactional'],"['retail_commerce', 'media_entertainment']",['non_technical'],thin,poor,general,heavy,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9861254692077636,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:a1410fcd-2809-47f1-a1a3-43332d6db4e4>,0.3,fragment,mixed_content,moderate,"Aggregated information, reviews, and download links for Cecilia Lindqvist's book about the Chinese instrument Qin.","['transactional', 'review_critique', 'reference']","['retail_commerce', 'media_entertainment', 'general_interest']",['non_technical'],thin,poor,general,heavy,slowly_changing,safe,minimal,minimal,no_pii,"['east_asian', 'european']","['china', 'sweden']",0.9999674558639526,0.0,swe_Latn,1.0,0.3,0.3,0.3,extreme_sample_bottom
<urn:uuid:7cd18613-1972-471f-9ffa-e5410b830a8f>,0.18,fragment,minimal_content,minimal,Repetitive header text from a preliminary start list for the Sprintcupen Del 1 shooting competition.,['structured_data'],"['media_entertainment', 'general_interest']",['non_technical'],empty,unacceptable,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.8323264718055725,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:9310d60c-60ec-4100-bb81-d98e1b55cef2>,0.18,fragment,mixed_content,minimal,Fragmented Swedish search results and metadata for the book 'Anropa' by several authors.,"['transactional', 'structured_data']","['media_entertainment', 'technology_software', 'general_interest']",['non_technical'],thin,poor,general,minimal,evergreen,safe,none,none,no_pii,['european'],['sweden'],1.0000053644180298,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:0e8d0b74-0c59-4302-8cf3-7bd9f66824a3>,0.3,fragment,minimal_content,minimal,Header information for a Nordic Rallycross event organized by Kalix Motorklubb.,['structured_data'],['media_entertainment'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.8813096880912781,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:ca69d44c-15ff-4538-a294-e17589af5e81>,0.16,fragment,mostly_navigation,minimal,"Fragment from a Swedish local newspaper dated December 23, 2005, listing headlines.","['news_report', 'structured_data']","['media_entertainment', 'general_interest']",['non_technical'],thin,poor,general,minimal,time_sensitive,safe,none,none,contains_pii,['european'],['sweden'],0.9995033740997314,0.0,swe_Latn,1.0,0.4,0.0,0.4,extreme_sample_bottom
<urn:uuid:2c9de07a-9eb6-4e3f-a307-057450a5f273>,0.3,fragment,minimal_content,minimal,Fragment of an auction listing showing a date and abbreviation for withdrawn items.,['structured_data'],['retail_commerce'],['non_technical'],thin,poor,general,minimal,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9930247068405152,1.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:eda6af5d-4d4f-4594-9023-d93bde7a6029>,0.12,fragment,minimal_content,minimal,A list of Swedish football club championships advancing to the next round.,['structured_data'],['media_entertainment'],['non_technical'],empty,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],1.0000046491622925,1.0,swe_Latn,1.0,0.3,0.0,0.3,extreme_sample_bottom
<urn:uuid:a00eef6a-b315-48a9-b361-e709f54a70bf>,0.18,fragment,minimal_content,minimal,A Swedish-language download link for a book titled 'Arvet från familjen Palmisano'.,['transactional'],"['media_entertainment', 'retail_commerce']",['non_technical'],thin,poor,general,heavy,regularly_updating,safe,none,none,no_pii,['european'],['sweden'],0.9999877214431764,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:aa5b0951-2b79-4af8-8671-cbb8c6c4f1b9>,0.12,fragment,mostly_navigation,minimal,A fragmented map or route guide showing locations along Lyckebo v4gen.,['structured_data'],"['transportation_logistics', 'general_interest']",['non_technical'],thin,poor,general,minimal,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9965287446975708,0.0,swe_Latn,1.0,0.3,0.0,0.3,extreme_sample_bottom
<urn:uuid:38b7a865-3f96-4c92-a931-d8ee59c6f95e>,0.18,fragment,mixed_content,minimal,Product listing page for the Swedish edition of Roald Dahl's children's book 'Naddap Dl6ks'.,"['transactional', 'structured_data']","['retail_commerce', 'media_entertainment']",['non_technical'],thin,poor,general,pure_marketing,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.999964475631714,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:4d46cbc6-6924-431b-bb7f-ce1f05c7a4a5>,0.38,fragment,minimal_content,minimal,Header and footer template for a Swedish patrol dog handler certificate examination results list.,"['structured_data', 'boilerplate']","['government_public', 'nonprofit_ngo']",['non_technical'],thin,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9982761740684508,0.0,swe_Latn,2.0,0.8,0.1,0.8,extreme_sample_bottom
<urn:uuid:ec5a0644-3cdd-45e2-b559-24b976056cf6>,0.24,fragment,mixed_content,moderate,"A collection of descriptions, reviews, and metadata for the Swedish edition of a book on Maharishi Ayurveda for women over forty.","['transactional', 'review_critique', 'structured_data']","['healthcare_medical', 'retail_commerce', 'general_interest']",['non_technical'],thin,poor,general,heavy,slowly_changing,safe,minimal,minimal,contains_pii,['european'],['sweden'],0.9999819993972778,0.0,swe_Latn,1.0,0.3,0.2,0.3,extreme_sample_bottom
<urn:uuid:7007a08c-d555-4b73-8412-4a23a4242c03>,0.18,fragment,minimal_content,minimal,Fragment of a Swedish municipal report on housing areas containing only page numbers and headers.,"['boilerplate', 'structured_data']","['government_public', 'real_estate_construction']",['non_technical'],empty,unacceptable,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9861085414886476,0.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:0ebf9dd9-d5e7-49bf-aaf4-94bce78a3720>,0.22,fragment,mostly_navigation,minimal,Fragment of a 2017 results report for the Swedish Security Sector.,['structured_data'],"['government_public', 'security_cyber']",['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.999984860420227,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
<urn:uuid:46ba3884-6d14-4e02-9f0c-ac40b9ae3149>,0.3,fragment,mostly_navigation,minimal,List of years for the IK Vista club board from 1981 to 2007 and 2022.,['structured_data'],"['nonprofit_ngo', 'media_entertainment']",['non_technical'],thin,poor,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.9992409944534302,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:feaae02e-e6f6-476c-9f5d-1a7280c8e81c>,0.3,fragment,minimal_content,minimal,Footer fragment containing TCPDF attribution and contact details for a Swedish construction company.,"['boilerplate', 'reference']",['real_estate_construction'],['non_technical'],thin,poor,general,minimal,slowly_changing,safe,none,none,no_pii,['european'],['sweden'],0.97874516248703,0.0,swe_Latn,1.0,0.6,0.1,0.6,extreme_sample_bottom
<urn:uuid:6ef18de2-da68-4bcb-aa73-30e1e8880f7b>,0.08,fragment,minimal_content,minimal,Repeated header text from an official results page for a Nordic ski cross-country event.,['structured_data'],"['media_entertainment', 'general_interest']",['non_technical'],empty,unacceptable,general,none,evergreen,safe,none,none,no_pii,['european'],['sweden'],0.8855124115943909,0.0,swe_Latn,1.0,0.2,0.0,0.2,extreme_sample_bottom
<urn:uuid:87b11d4d-ef45-4b97-8b7b-f94f6ec748e4>,0.18,fragment,mostly_navigation,minimal,Fragmented results table from the V4sters 2018 Swimming Championships listing categories and headers but missing actual data.,['structured_data'],['general_interest'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,contains_pii,['european'],['sweden'],0.9986395835876464,1.0,swe_Latn,1.0,0.3,0.1,0.3,extreme_sample_bottom
<urn:uuid:81b70956-0b1a-4859-9f05-9cec2f8cda66>,0.38,fragment,minimal_content,minimal,Header text for the official results of a dog club competition held in ,['structured_data'],['general_interest'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9929613471031188,0.0,swe_Latn,1.0,0.8,0.1,0.8,extreme_sample_bottom
<urn:uuid:127478a6-6098-4e1a-a307-2e75e5b72bc1>,0.42,fragment,mixed_content,minimal,Brief description of Carlsten Fort in Marstrand as a historical landmark.,['reference'],['hospitality_tourism'],['non_technical'],thin,poor,general,none,evergreen,safe,minimal,none,no_pii,['european'],['sweden'],1.000009536743164,0.0,swe_Latn,1.0,0.6,0.3,0.6,extreme_sample_bottom
<urn:uuid:3e2bdb84-0956-4e21-b160-cf644d78b67d>,0.22,fragment,mostly_navigation,minimal,Fragment of a school timetable for Hovskolan in Sweden listing dates and locations.,['structured_data'],['education_sector'],['non_technical'],thin,poor,general,none,time_sensitive,safe,none,none,no_pii,['european'],['sweden'],0.9358737468719482,0.0,swe_Latn,1.0,0.4,0.1,0.4,extreme_sample_bottom
