rater_name,pair_id,is_duplicate,readability_choice,substance_choice,side_assignment,chosen_read_doc,chosen_sub_doc,doc_a_quality,doc_b_quality,doc_a_edu,doc_b_edu,readability_agr,substance_agr,axes_diverged
Marcus,5380235f-4300-4be9-ae64-9d5817e2857d,0,b_much,b_much,a_right,a,a,excellent,adequate,none,basic,agree,disagree,False
Felix,a692dfb0-6249-41b1-aa65-7a3efa47072b,0,b_slight,a_slight,a_right,a,b,good,unacceptable,minimal,basic,agree,agree,True
Marcus,262f90e3-3fae-41ec-b2f8-67d624e929eb,0,b_slight,b_slight,a_right,a,a,good,good,moderate,moderate,tie,tie,False
Marcus,98842a97-ac6b-4dc8-8fe5-7ccd18d1a880,0,b_much,b_much,a_right,a,a,good,unacceptable,basic,basic,agree,tie,False
Axel,7a72f27a-24f0-4a24-a832-0c2ee4f070e4,0,a_slight,a_slight,a_left,a,a,good,excellent,basic,moderate,disagree,disagree,False
Marcus,e37cb139-57ec-429a-a266-259427235155,0,a_slight,a_slight,a_left,a,a,good,excellent,minimal,moderate,disagree,disagree,False
Marcus,c06d51f7-c62d-4d6c-8591-6388a1480254,0,a_much,a_much,a_right,b,b,poor,excellent,minimal,none,agree,disagree,False
Felix,e1b9306f-6a52-4ab3-a30c-24e2a0c5781b,0,a_slight,a_slight,a_right,b,b,poor,good,minimal,minimal,agree,tie,False
Felix,1444ea41-fe0b-4ef2-9f64-24635bc202f4,0,a_slight,a_slight,a_right,b,b,adequate,adequate,none,moderate,tie,agree,False
Axel,5eb07cc5-2f1b-442c-b9c7-9b0d3c533cc8,0,b_slight,a_slight,a_left,b,a,good,good,moderate,moderate,tie,tie,True
Marcus,6c819edf-79a2-4af4-9f74-4e158c21a0cf,1,b_much,b_much,a_right,a,a,good,adequate,moderate,basic,agree,agree,False
Marcus,4ded0ca5-f669-4468-a286-5ed850b35e5e,0,a_slight,a_slight,a_right,b,b,good,good,basic,none,tie,disagree,False
Axel,6dbc861e-9a70-4630-99c2-c77469d9bf47,1,a_slight,a_much,a_right,b,b,good,excellent,basic,moderate,agree,agree,False
Marcus,f0f9f7d6-0c4e-469e-b3e0-c16542ab1172,0,b_much,b_slight,a_left,b,b,adequate,good,none,moderate,agree,agree,False
Felix,0eb5b91a-47e4-4287-ade7-ed46e165303a,0,a_slight,a_slight,a_right,b,b,good,good,moderate,moderate,tie,tie,False
Axel,31ae3520-5a4a-434e-986a-f2305aac3186,0,b_slight,a_much,a_right,a,b,good,adequate,minimal,minimal,agree,tie,True
Marcus,99b8f279-f661-4a11-8c23-effc614f5fef,0,a_slight,b_slight,a_left,a,b,good,good,none,none,tie,tie,True
Felix,6c757b29-2dff-437e-9b36-412653de6ffb,0,a_slight,b_slight,a_left,a,b,adequate,good,none,minimal,disagree,agree,True
Felix,6920255f-d052-434c-a5fc-be555707b98d,0,a_much,a_much,a_right,b,b,adequate,good,none,minimal,agree,agree,False
Marcus,0a2f48fa-268c-4310-8d9d-73b1f811e3ba,0,b_much,b_much,a_right,a,a,good,good,none,none,tie,tie,False
Marcus,2342a2ba-556e-4391-8d95-8a92deefedf5,0,b_much,b_much,a_right,a,a,good,poor,moderate,none,agree,agree,False
Felix,3c0d79b5-7c5d-40a9-a6af-4d3aeea4bb3d,0,a_slight,a_much,a_left,a,a,good,unacceptable,high,high,agree,tie,False
Axel,90478ebb-2958-4def-a07e-b4f061d4acbe,0,a_slight,a_much,a_left,a,a,good,good,minimal,basic,tie,disagree,False
Felix,122a24c5-98bd-49b4-ad15-b0c4d7efa704,0,b_much,b_much,a_right,a,a,excellent,excellent,moderate,high,tie,disagree,False
Axel,9e3d2028-1e16-4594-af78-618e1767eb15,0,b_slight,b_slight,a_right,a,a,adequate,unacceptable,high,none,agree,agree,False
Felix,256099e5-8b29-4817-88cd-3d4fd9813801,0,a_slight,b_slight,a_left,a,b,good,excellent,moderate,high,disagree,agree,True
Axel,015465be-7526-4e2c-aee1-ae5a821e1cf3,0,b_slight,a_slight,a_right,a,b,excellent,adequate,minimal,high,agree,agree,True
Axel,67a386ed-c7bf-470b-8794-3a94b6a05def,0,b_slight,b_slight,a_right,a,a,adequate,adequate,high,moderate,tie,agree,False
Axel,6e695492-e8dc-4a1c-9e06-4d4af02e3d8a,1,b_slight,a_slight,a_left,b,a,unacceptable,excellent,basic,minimal,agree,agree,True
Axel,1a23e07a-0a23-41a8-ac76-fef4533e06fb,0,b_slight,a_slight,a_right,a,b,poor,good,basic,high,disagree,agree,True
Axel,b9ae5b84-26e6-4723-9ccd-8494f20e4e9a,0,a_slight,a_slight,a_right,b,b,excellent,excellent,basic,high,tie,agree,False
Marcus,37946983-9098-408c-9360-42d02fbf9c3b,0,a_much,a_much,a_right,b,b,unacceptable,good,minimal,minimal,agree,tie,False
Marcus,0642f345-7d4d-4ecf-88a6-989872e31248,1,b_much,b_much,a_right,a,a,excellent,unacceptable,basic,minimal,agree,agree,False
Marcus,4843d7f5-2c87-4b04-b3a3-df1dd722baa7,0,b_slight,b_slight,a_right,a,a,excellent,excellent,basic,moderate,tie,disagree,False
Felix,a11c6b24-a345-4a66-8818-dacd8296c19f,0,a_slight,a_slight,a_left,a,a,good,good,basic,minimal,tie,agree,False
Marcus,fddacdf4-1b2f-4213-ad76-155ca2103395,0,b_slight,b_slight,a_right,a,a,poor,poor,basic,high,tie,disagree,False
Felix,eea903a1-4ed5-4cb6-91d4-b0d3079e47f3,0,a_slight,a_slight,a_left,a,a,excellent,good,moderate,moderate,agree,tie,False
Marcus,5249a429-e2a8-4cef-9ff9-768af888d299,0,a_much,a_much,a_right,b,b,unacceptable,excellent,minimal,basic,agree,agree,False
Felix,398e3fa1-31f0-4fd9-a27d-d56fabd38bed,1,b_much,b_slight,a_right,a,a,excellent,poor,basic,high,agree,disagree,False
Felix,2a16070f-6db3-467f-b43c-5c2c4273541d,0,a_slight,a_slight,a_right,b,b,good,excellent,moderate,minimal,agree,disagree,False
Marcus,0bc91cf0-cf8a-453f-8ae9-28c21b44b1d3,0,a_much,b_slight,a_right,b,a,adequate,excellent,high,none,agree,agree,True
Felix,7f8e19cc-4898-4082-a1f8-8df8f3edca30,0,b_slight,b_slight,a_right,a,a,adequate,good,moderate,minimal,disagree,agree,False
Felix,0642f345-7d4d-4ecf-88a6-989872e31248,1,a_much,b_slight,a_left,a,b,excellent,unacceptable,basic,minimal,agree,disagree,True
Felix,6c819edf-79a2-4af4-9f74-4e158c21a0cf,1,a_much,a_much,a_left,a,a,good,adequate,moderate,basic,agree,agree,False
Marcus,f7ad3ef6-284f-42bf-af30-b60fb346836a,0,b_slight,b_slight,a_left,b,b,good,adequate,minimal,basic,disagree,agree,False
Felix,9732be69-d04a-4df2-a7b5-25a26a37b4bc,0,b_much,b_slight,a_left,b,b,good,good,minimal,minimal,tie,tie,False
Marcus,25ebe6d4-851e-4903-8f58-264bf7b1104a,0,b_much,b_much,a_left,b,b,poor,excellent,high,basic,agree,disagree,False
Felix,e5707de5-1999-4765-b642-09c72d1a8302,0,b_much,b_much,a_right,a,a,good,excellent,moderate,none,disagree,agree,False
Axel,2301397b-b4dd-4f9d-a385-ffbf081f7c1e,0,b_slight,a_slight,a_left,b,a,good,good,high,minimal,tie,agree,True
Felix,f03aca17-2e32-4084-873b-0a98fc237170,0,b_much,b_slight,a_left,b,b,good,good,high,moderate,tie,disagree,False
Axel,86e1bdb0-8648-4036-b2da-def9836c7af8,0,b_slight,a_slight,a_left,b,a,adequate,good,high,none,agree,agree,True
Marcus,e3ab5f36-9778-4b84-b1d0-28f208adf75a,0,a_much,a_slight,a_left,a,a,good,excellent,minimal,basic,disagree,disagree,False
Felix,6e695492-e8dc-4a1c-9e06-4d4af02e3d8a,1,a_much,b_slight,a_right,b,a,unacceptable,excellent,basic,minimal,agree,agree,True
Axel,5a511cd7-1938-4b30-ae02-caed2bd993e6,0,a_slight,a_slight,a_right,b,b,good,good,none,basic,tie,agree,False
Marcus,398e3fa1-31f0-4fd9-a27d-d56fabd38bed,1,a_much,a_much,a_left,a,a,excellent,poor,basic,high,agree,disagree,False
Axel,a8d01e6c-b8b0-4397-834a-823d88e52f77,0,b_slight,a_slight,a_left,b,a,excellent,good,moderate,high,disagree,disagree,True
Marcus,41eba66f-39ff-49ff-b140-33617a287774,1,a_slight,b_slight,a_right,b,a,excellent,excellent,minimal,none,tie,agree,True
Axel,3fe3f9d9-1e0b-44d4-95dc-02c5922590b2,1,a_much,a_slight,a_right,b,b,unacceptable,good,none,basic,agree,agree,False
Axel,740f5b06-cf8b-41c6-8d86-de76580808e8,0,b_slight,a_slight,a_left,b,a,good,good,high,none,tie,agree,True
Axel,6ff223d1-a9c7-4560-a791-d1830d4f4f9a,0,b_slight,a_slight,a_right,a,b,good,poor,none,none,agree,tie,True
Axel,e9780b05-7603-444a-b7bc-3915b3ca9182,0,b_much,b_slight,a_left,b,b,poor,good,none,none,agree,tie,False
Axel,f30a423b-91e9-4d2b-b49a-d654e8f10bb0,0,b_slight,a_slight,a_right,a,b,good,adequate,none,moderate,agree,agree,True
Axel,40d60696-b160-4723-9ce9-d78abd9c1c1c,1,a_slight,b_slight,a_left,a,b,adequate,good,minimal,basic,disagree,agree,True
Axel,9ed0d05e-1e8f-469f-9702-1318e9b436f9,0,b_slight,a_much,a_left,b,a,good,good,basic,none,tie,agree,True
Axel,b092128a-4699-42d2-9634-98b799638e4c,0,a_slight,a_much,a_right,b,b,good,excellent,moderate,moderate,agree,tie,False
Felix,77835018-5021-4bc2-a7d8-573e77079b70,0,a_much,a_much,a_left,a,a,good,good,basic,none,tie,agree,False
Marcus,e3732792-1ca4-4eb2-a190-6cbab18a0b7f,0,a_slight,b_slight,a_right,b,a,good,poor,moderate,high,disagree,disagree,True
Felix,bad58ab4-c89d-4508-ab6d-07b494b5b83c,0,a_much,a_slight,a_left,a,a,good,good,minimal,high,tie,disagree,False
Marcus,b5808d76-24e3-46de-9231-80cc7f4f37fc,0,b_slight,a_slight,a_right,a,b,good,excellent,basic,high,disagree,agree,True
Felix,72e18450-fa35-4e45-ac0f-a0a2e693a66e,0,b_slight,a_slight,a_right,a,b,excellent,excellent,moderate,basic,tie,disagree,True
Marcus,ea8a484b-91df-4982-8681-b87d763c766f,0,a_slight,a_much,a_left,a,a,good,adequate,basic,none,agree,agree,False
Felix,8e4e8708-cb6c-4585-a670-dd538582dfbd,0,a_slight,a_much,a_right,b,b,excellent,excellent,moderate,high,tie,agree,False
Marcus,2bf46eaa-64ae-4df9-993e-484628211cfd,0,a_slight,b_slight,a_right,b,a,good,good,none,none,tie,tie,True
Felix,42934a74-2910-4efb-bd6d-4b6b0a2e30b9,0,b_much,b_slight,a_left,b,b,good,excellent,moderate,moderate,agree,tie,False
Felix,b7fcbcab-c509-4d26-8119-eb1b46da89e5,0,b_slight,b_slight,a_left,b,b,poor,good,none,none,agree,tie,False
Marcus,7d0b6a62-68ac-48fb-b393-7c7f1613c53d,0,b_slight,a_slight,a_left,b,a,excellent,good,moderate,basic,disagree,agree,True
Marcus,f578b007-b4b5-4282-8caf-a9ede5804cab,0,b_slight,b_slight,a_right,a,a,good,adequate,none,moderate,agree,disagree,False
Felix,fb31022c-28c2-4b00-9d1b-3ff6b2239fc6,0,b_slight,b_much,a_left,b,b,good,excellent,moderate,high,agree,agree,False
Felix,2e29dc93-3359-4d15-a501-638e4d48cca5,0,b_slight,b_slight,a_right,a,a,excellent,adequate,none,minimal,agree,disagree,False
Felix,73f0ae6e-67c2-40bb-8178-5175a75408b9,0,a_slight,a_slight,a_left,a,a,good,good,minimal,minimal,tie,tie,False
Marcus,6bf74919-f91e-43ba-a25f-fcb4e5e462e3,0,b_much,b_much,a_right,a,a,good,unacceptable,moderate,minimal,agree,agree,False
Felix,40d60696-b160-4723-9ce9-d78abd9c1c1c,1,b_slight,a_slight,a_right,a,b,adequate,good,minimal,basic,disagree,agree,True
Marcus,c90f6128-c3e1-49f2-af58-a529dcb4ebc8,1,b_slight,b_slight,a_left,b,b,poor,poor,minimal,minimal,tie,tie,False
Felix,1f8d1954-dae5-43ff-9ec0-47df4974a120,0,b_much,b_much,a_left,b,b,poor,good,none,basic,agree,agree,False
Marcus,3fe3f9d9-1e0b-44d4-95dc-02c5922590b2,1,a_much,a_much,a_right,b,b,unacceptable,good,none,basic,agree,agree,False
Felix,3ea7b584-915c-432b-afa4-400f81226987,0,a_much,a_slight,a_left,a,a,good,good,none,high,tie,disagree,False
Marcus,ecd1c3ad-12e2-49d6-9edf-4e485891f55e,0,a_much,a_much,a_right,b,b,unacceptable,good,none,none,agree,tie,False
Marcus,5e43989f-b5e9-4bda-970c-a043f36ef23e,0,a_much,a_slight,a_left,a,a,excellent,poor,none,none,agree,tie,False
Marcus,009dcf33-e0b7-462f-86c3-c40e28114248,0,b_much,b_much,a_right,a,a,excellent,poor,minimal,moderate,agree,disagree,False
